PrefabricatedWood,06 10 00 Rough Carpentry,6495a039f98f42bdbec921121d48dbc4,3
NonStructuralWood,06 20 00 Finish Carpentry,d113c0063bcf41f0af23277b8b6362f0,3
WoodJoists,06 17 33 Wood I-Joists,470b6ba66fda46f3b85a33bfc4fef4b1,1
FireAndSmokeProtection,07 80 00 Fire and Smoke Protection,bbdf16b3cb5e48cbb5e73a0798fc63c0,3
AppliedFireproofing,07 81 00 Applied Fireproofing,888ccf25e69e425ebe8c607f5b4958bc,3
IntumescentFireproofing,07 81 20 Intumescent Fireproofing,4c87eada0a794e2b95e4f8d40495d5a8,3
SprayFireproofing,07 81 10 Spray-Applied Fireproofing,cb8840cb2f21459c824dc501c2f00297,3
ConveyingEquipment,14 00 00 Conveying Equipment,d4c6a9e6e4c04f6e9d6f1e9c9f6b9c3d,0
Elevators,14 20 00 Elevators,1a9cc72827924cc98ad38fbcadc7fa7f,0
ThermalMoistureProtection,07 00 00 Thermal and Moisture,34f64d921a3745c69f8ea7c6c0ec318c,2
Insulation,07 21 00 Thermal Insulation,bf1c8882d7784db4b10d9d5698b8b5cc,2
BlownInsulation,07 21 26 Blown Insulation,6fd418c8ff92415c833e6327638d8482,2
BoardInsulation,07 21 13 Board Insulation,56f3c898f94b459eb18feadeb792ab88,2
BlanketInsulation,07 21 16 Blanket Insulation,53a5d5bee64545f1bdd60e102a4a6ddf,2
FoamedInPlace,07 21 19 Foamed-In-Place Insulation,712c2265bfe248e5aa58ad17bb3c92ea,2
MembraneRoofing,07 50 00 Membrane Roofing,d4f59a8702314e84b683dde20c2a8a47,2
SinglePlyKEE,07 50 00 Membrane Roofing,34d34329c1964de4a9b67437ef00c4ea,2
BituminousRoofing,07 50 00 Membrane Roofing,a9fd6c7eca5a4d5382ece6423f0326ec,2
SinglePlyPVC,07 50 00 Membrane Roofing,eea8edb2c0f84d77abfab5a6241cbae1,2
Sheathing,06 16 00 Sheathing,2ba88414ca7344f6bf4140ca1bd536de,2
GypsumSheathingBoard,06 16 43 Gypsum Sheathing,4063336edfe749b480a9f932d4109fe6,2
CementitiousSheathingBoard,06 16 63 Cementitious Sheathing,c56db9d02dfe4fb2bb8cf0eb5f35a446,2
Cladding,07 40 00 Roofing and Siding Panels,e0e179593b504a1b986e849cade3ff15,2
WallPanels,07 42 00 Wall Panels,154ea9e0d9964ddc873cacd7c1968327,2
RoofPanels,07 41 00 Roof Panels,b9bd97e8c55b49288eb9d672882f72a8,2
InsulatedRoofPanels,07 41 00 Roof Panels,335621cd7eec42e89c2b76bb2a05e4fa,2
InsulatedWallPanels,07 42 00 Wall Panels,8eb6a511c7d94f4f89e673b6e9badd3c,2
Asphalt,32 12 16 Asphalt Paving,aa61ba9aeb2a4566942554362bb496d3,3
Openings,08 00 00 Openings,fac0fe7a97774bd99b173c6f92394ef7,2
Glazing,08 80 00 Glazing,3aa3a34fae9a400fa297339ba88e1fab,2
InsulatingGlazingUnits,08 81 23 Exterior Glass Glazing,ade3ad3405124279955e7d3085f59383,2
FenestrationParts,08 80 00 Glazing,28fadfb499484f5bb8f86ed4aa34be9a,2
FenestrationAccessories,08 85 00 Glazing Accessories,2d40b2387b6845d3866c83bdc20f8f05,2
GlassPanes,08 80 00 Glazing,09a7964b7e4f4c9b99890436b28af9c1,2
ProcessedNonInsulatingGlassPanes,08 81 00 Glass Glazing,6daae3d967104f5c8c85199b259f58c8,2
FlatGlassPanes,08 81 00 Glass Glazing,ca0d30f6f7e04106afbf0124f0ae35f3,3
Placeholders,00 00 00 No Masterformat Code,e4fba377eec44294ab67fbbdf1d7d7e7,3
ReusedComponent,00 00 00 No Masterformat Code,87d1f476534348439d062ca217b64827,3
Negligible,00 00 00 No Masterformat Code,dfbf31cad8bb432890053b51a48c99ba,3
MassPlaceholder,00 00 00 No Masterformat Code,e9fb7a16bf254f77b7cbc4c8818cb71e,3
VolumePlaceholder,00 00 00 No Masterformat Code,7d107f8642f045a1ba1d83fecaf4663d,3
LengthPlaceholder,00 00 00 No Masterformat Code,1fd14dd3207147c98c365c0c3549b01d,1
AreaPlaceholder,00 00 00 No Masterformat Code,9fb5c916c0f147f29a77ff2a13015758,2
Airspace,00 00 00 No Masterformat Code,7640566ef71245418c1bb4a8f99e2a7f,3
